par_id,art_id,keyword,country_code,text,label
2915,@@3547446,hopeless,za,But they are n't hopeless going forward either ? as minimal as that might be ? and this was evidence with attempts from captain Frederick Nsabiyumva as well as striker Nkanyiso Madonsela ? who both came close with their efforts .,0
4713,@@14778795,poor-families,ie,"Eugene Richards , a documentary photographer who 's spent more than four decades investigating race , inequality and class , approached that tricky territory in the late 1980s , when he traveled to 11 states to spent time with poor families for what would become a book , Below the Line . His photographs took readers from farms to inner cities , from Massachusetts to Wyoming . In so doing , they underscored the depth of a problem more widely and universally experienced than anyone -- Richards ' critics especially -- would have liked to believe .",0
4077,@@1922506,refugee,ke,The number of cholera infections in the port town of Kigoma on Lake Tanganyika in western Tanzania has fallen since the epidemic claimed some 30 lives last month among both locals and Burundian refugees fleeing political unrest in their country . But the risk of transmission remains high if proper sanitation and hygiene measures are not in place .,0
7434,@@24553699,refugee,ph,"This influx has led to severe overcrowding in many Greek refugee camps , particularly on the islands but also in northern Greece .",0
1409,@@4815303,immigrant,ca,"All of this is done to help raise money for Gordy and Eva Hoffman 's three charities : Project Warmth , Alberta Champions , ( for the purpose of full disclosure , I 'm on the board ) and Operation Kickstart . This year , Project Warmth will distribute more than 85,000 pieces of gently used and cleaned coats , hats and gloves to needy children . Alberta Champions recognizes historic figures who helped build our glorious province with special fields of fame monuments at various locations in the city , with more to come , and Project Kickstart helps immigrants looking for work to find it , often through Hoffman 's incredible network of friends and acquaintances that he 's never afraid to call on to help another person in need .",3
2784,@@4592460,poor-families,bd,"Meher Afroj Chumki , state minister for women and child affairs , said : "" We do not think awareness programmes are not necessary . We should enforce the laws and try to increase economic facilities to poor families , but at the same time we must make people aware of the bad effects of child marriage . """,0
7656,@@14100484,poor-families,za,The letter said Saturday 's protest at the Old Biscuit Mill ? which neighbours their homes ? had been an opportunity for the people of Cape Town to speak their minds on the removal of poor families from Woodstock and Salt River .,0
8313,@@22779735,disabled,my,"The cost of nursing home or other home-based care tends not to be covered by Medicare , the US government insurance program for the elderly and disabled , and can be extremely expensive out of pocket .",0
8499,@@23816895,hopeless,bd,"After the brutal death of the founding father of the country , Sheikh Mujibur Rahman , along with four other national leaders in 1975 , many thought the country had lost all hope for leadership . In this hopeless situation , military dictators were pushed forward to take over the leadership .",0
6227,@@9475607,vulnerable,ke,Al-Shabaab militants have isolated Hudur and many other towns in Bakool from other towns in the country and have been blocking humanitarian assistance from reaching vulnerable populations there .,0
3732,@@1835924,vulnerable,ke,These sub-Saharan nations are among the most vulnerable to the effects of global warming .,0
5818,@@23483065,in-need,lk,"He also claimed that state banks , too , provide more financial support to large-scale millers since they can repay , but the small-scale millers who are in need of financial support , are neglected .",0
10032,@@15252034,in-need,za,"The result means Leicester have won just one of their last six Premier League games , and Ranieri admitted that his players - who are are also competing in the Champions League - are in need of respite .",0
5950,@@23930694,disabled,za,Kaldine also said that the rights of disabled people are infringed .,0
10074,@@16680176,migrant,ng,101 irregular migrants arrested in Lagos,0
5456,@@25980660,refugee,ca,"Diala Aleid , a Syrian refugee and entrepreneur , recalls working at her family 's restaurant nearly every day for the first several months with just her sister and mother -- because the trio could afford to hire any outside help .",0
7124,@@14844271,women,pk,"In a time when Pakistan faces a variety of challenges , Shahlyla along with all the women athletes across the nation had made laudable efforts to help Pakistan do away with the negative impression .",0
638,@@25804908,migrant,lk,"1 . Guards at a U.S. detention center for immigrants in California had brutally used pepper spray , beatings and scalding hot showers last year to punish eight Central American men who went on a hunger strike , two of the men and their attorneys said on Tuesday ( July 24 ) .",0
8218,@@23275174,disabled,gh,"Motsepe and his wife Precious created the Motsepe Foundation in 1999 to help create new jobs , support education , and improve the lives of children , the unemployed , and the disabled , among others .",4
3981,@@20766018,disabled,jm,Fayval Williams hosts back to school treat for disabled students,0
1791,@@3864943,refugee,gb,"There are three simple principles to becoming one of now more than 100 schools of sanctuary , both primary and secondary and those with and without pupils from refugee families : "" Learn about what it means to seek sanctuary ; take positive action to embed concepts of warm welcome and safety within the school ; and share the visions and the achievements of pupils and teachers , "" said McCarthy .",0
8306,@@10052372,hopeless,pk,"But just as a sense of hopelessness about racial equality on television has historical precedents , so do strategic efforts to make changes . And , as Susan L. Mizruchi 's terrific 2015 study of Marlon Brando suggests , there are lessons for socially-conscious actors in the legacy and negotiating style of one of their greatest colleagues .",0
2409,@@23342334,migrant,ke,"Complaining that California was not complying with his hardline position on migrants , Trump warned he could cut vital help from Washington and prompt a crime wave .",0
9517,@@17614129,homeless,ph,"BANTAYAN ISLAND , Cebu -- When Supertyphoon "" Yolanda "" ( international name : Haiyan ) pummeled the Visayas in November 2013 , the eyes of the world and much of the international aid that poured into the country centered in Tacloban City -- one of the areas severely hit by the strongest storm that made landfall on record . But not so far away , in a small island at the northern end of Cebu , the suffering of thousands of families left devastated and homeless by the typhoon was just as valid , sans the media spotlight .",0
798,@@2577871,homeless,sg,"I have a dream journal . Sometimes , I create ads from dreams . Yellow Man for DiGi being one of them . Is that considered weird ? I 've also dressed up as a homeless man for a shoot once , but decided to stay like that for a few more hours after experiencing being ignored and feeling invisible . It was an eye opener .",4
5585,@@24944305,disabled,my,"Though all that does n't matter to Fakrul as ultimately , the Bangi Industry and Recovery Training Center ( PLPP ) graduate wishes to prove to the public that even disabled people like himself is capable of achieving success so long as they are confident and committed in life .",0
7436,@@17057082,migrant,in,"Calling America a land of immigrants , Microsoft Corp chief executive Satya Nadella said the US stands for inclusion and diversity and he himself had beneficiary of its "" enlighten immigration policy "" .",0
1000,@@16791902,in-need,gb,"A source told the Mirror : "" Madonna has a deep affiliation with Malawi and has always wanted to do what she can to help those in need .",3
6370,@@21659201,hopeless,jm,He said the song was selected because the words -- and the chorus in particular -- would serve as a source of inspiration for those being bullied and have a sense of hopelessness .,0
7263,@@22420393,homeless,jm,"A Mental Health and Homelessness report was also completed and tabled this year , giving the foundation for dealing with mental illness and homeless in Jamaica .",0
1655,@@19671196,in-need,ke,He added that he would be taking a break from online fundraising for those in need .,1
1113,@@22624834,homeless,ke,"The main platforms of the station were laid with tables and decorated with a Christmas tree and garlands as over 200 homeless people in London were served dinner by 80 volunteers from Network Rail , alongside volunteers ' from other charities .",2
432,@@15802146,refugee,nz,"He depicts demonstrations by refugees at the border post , their catastrophic living conditions and the desperate attempt of several hundred to cross a river a few kilometres from the camp to get into Macedonia on 14 March 2016 .",2
4688,@@24019007,refugee,my,"While acting as an opposition party up until entering the government in December , the FPO drummed up populist support by focusing much of its ire on refugees , migrants and Muslims at large , said Sabine Schatz , a spokesperson for the centre-left Social Democratic Party of Austria ( SPO ) .",0
1604,@@19800125,migrant,pk,"But on July 19 , the Immigration and Customs Enforcement Agency ( ICE ) ordered her deported back to Guatemala . Why ? Because she is an undocumented immigrant and President Trump maintains undocumented immigrants are responsible for an increase in the murder rate and violent crimes and a decrease in the material standard of living of middle and lower-class citizens .",0
4191,@@16493456,refugee,gh,"Paul Smith , president of U.S.-based Chartered Financial Analyst Institute , a membership organization of global investment professionals , told Xinhua that the initiative could stabilize countries in the Middle East like Syria and Turkey plagued by an ongoing refugee crisis , something that would undoubtedly benefit Europe too .",0
7573,@@15712077,disabled,bd,"Hasina recounted the exploits of many disabled who went on to excel in the world of science , music and literature . "" We need to create an environment in which the disabled with talent can flourish . """,0
2599,@@15956225,women,bd,"She said since women in her village started migrating for employment , their families have become solvent and , in some cases , even wealthy .",0
10194,@@10322193,in-need,tz,"Understanding rainfall is crucial for the vast majority of farmers to grow crops that are their primary source of food and income . These farmers , and the country as a whole , are in need of a system that collects reliable hydrological and meteorological data . This information would be useful in facilitating the required coordination with national and local early warning systems to help protect lives and livelihoods .",0
8552,@@794075,hopeless,gb,"Ms Ma spoke to her student while he was at the Dungavel detention centre in Lanarkshire and said : "" He just feels hopeless . He does n't know what he can do . He is in despair about what awaits him if he returns to Afghanistan because he has been away for three years .",0
5282,@@15145771,immigrant,hk,"Hong Kong needs to attract an additional 15,000 young and highly educated mainly mainland immigrants every year to alleviate the problems of an aging population and the labor shortage , Our Hong Kong Foundation has suggested.Citing Census and Statistics Department data , the foundation estimated in a report that Hong Kong 's population will shrink to 7.814 million in 2064 after it reaches a peak of 8 ...",0
3518,@@15193903,refugee,ke,""" The IRC 's response to the global refugee crisis not only in our home country of Greece but throughout Europe , the Middle East and Africa has been remarkable , "" said Andreas Dracopoulos , Co-President and Director of the Stavros Niarchos Foundation . "" All of us at the Foundation , we are proud to make this commitment and look forward to seeing the impact this gift will undoubtedly have on the lives of the world 's most vulnerable people . """,1
